Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	tree_length
0	-1501.938	-1758.765	256.8275	1.778442	2.182628	1.421836	1.4358
6	-1523.499	-1780.384	256.8854	2.104632	2.05662	1.421836	1.181621
12	-1505.419	-1762.414	256.9953	2.063436	1.962763	1.415152	1.174083
18	-1510.717	-1767.984	257.2665	1.989044	1.962763	1.086221	1.243936
24	-1505.617	-1762.832	257.2144	1.917454	2.179412	1.086221	1.243936
30	-1501.883	-1758.004	256.1207	1.646232	2.179412	2.078152	1.735494
36	-1512.288	-1768.513	256.2246	1.772884	2.179412	2.85353	1.270481
42	-1511.688	-1767.784	256.0964	1.882754	2.277266	2.85353	1.241849
48	-1520.4	-1777.108	256.7086	2.01325	2.548211	1.665307	1.030346
54	-1511.89	-1768.716	256.8261	1.962421	2.004481	1.8523	1.124447
60	-1504.281	-1761.216	256.9355	1.917398	2.004481	1.8523	1.065198
66	-1513.159	-1769.856	256.697	1.741695	1.926458	1.8523	1.449539
72	-1528.482	-1784.478	255.9963	1.697828	2.1928	2.832731	1.50916
78	-1529.938	-1785.763	255.8247	1.60161	2.1928	3.834365	1.414014
84	-1518.645	-1774.497	255.8527	1.632127	1.738463	3.238535	1.732981
90	-1510.675	-1766.229	255.5537	1.653766	1.738463	3.586297	1.833141
96	-1518.283	-1774.327	256.0442	1.721519	1.671561	3.586297	1.463687
102	-1517.503	-1773.015	255.5127	1.732746	2.583817	3.586297	1.467576
108	-1500.802	-1757.358	256.5554	1.809205	2.277901	2.006787	1.277583
114	-1508.853	-1765.615	256.7621	1.840555	2.277901	1.729929	1.222137
120	-1512.197	-1768.944	256.7466	1.836921	1.983454	1.729929	1.371642
126	-1523.677	-1779.928	256.2513	1.836921	1.983454	2.404647	1.454727
132	-1521.996	-1777.715	255.7188	1.823785	1.574235	5.25004	1.282265
138	-1516.796	-1772.977	256.181	1.745509	1.626746	2.964307	1.55091
144	-1524.93	-1781.858	256.9279	1.764959	1.626746	1.857608	1.400095
150	-1520.966	-1776.701	255.7344	1.665975	2.112293	2.539939	1.84748
156	-1518.458	-1774.769	256.3106	1.71095	1.849619	2.018015	1.716292
162	-1519.838	-1776.062	256.224	1.671307	2.227215	1.741179	1.77117
168	-1511.279	-1767.246	255.9672	1.625079	2.227215	1.836904	1.936746
174	-1515.647	-1771.448	255.8009	1.624756	2.227215	1.826825	2.05213
180	-1519.699	-1775.771	256.0722	1.561046	1.948468	2.261443	1.850006
186	-1517.902	-1774.145	256.2431	1.728381	1.537125	2.013146	1.897521
192	-1529.813	-1786.405	256.5912	1.87854	1.537125	2.496752	1.348149
198	-1526.978	-1783.444	256.4662	1.816965	1.988535	2.169737	1.397781
204	-1512.828	-1769.3	256.4716	1.775567	1.988535	2.169737	1.425657
210	-1507.786	-1764.564	256.7785	1.794151	1.792077	1.866447	1.404002
216	-1503.622	-1760.276	256.6548	1.944682	1.637875	2.046066	1.378969
222	-1515.424	-1771.541	256.1169	1.988749	1.637875	3.598467	1.206223
228	-1517.245	-1773.669	256.4236	1.851536	1.709964	2.970112	1.232171
234	-1523.089	-1779.486	256.3971	2.187322	1.655939	2.970112	0.9823965
240	-1503.804	-1759.69	255.8857	2.078931	2.144599	4.189211	0.8352311
246	-1516.067	-1772.422	256.3548	2.021105	1.53778	3.685792	0.9932969
252	-1520.141	-1777.283	257.1422	2.335461	1.53778	1.800131	0.734789
258	-1508.977	-1766.058	257.081	2.437639	1.53778	1.800131	0.6625331
264	-1509.898	-1766.641	256.7437	2.386432	1.813486	2.157971	0.6419806
